voter,Weight,contributor_onboarding_rate,current_active_developers,developer_retention_rate,donor_retention_rate,gmv_growth,network_contribution_score,scaling_community_rounds,unique_donor_growth
0x74C9D38eE85faEb44851560b7aC8DCcc7D23885C,60,18,18,18,16,12,6,6,6
0x7D85fCbB505D48E6176483733b62b51704e0bF95,20,10,30,2,6,23,2,23,4
0x31cd90C2788f3e390d2Bb72871f5aD3F1a4B22a1,60,18,12,9,12,16,15,6,12
0xaCE1f1c6c5c89AE3Fc3209ff92e7120fb74445aA,20,25,20,30,5,5,5,5,5
0x50418699cB44BfDa9c9afc9B7a0b0d244d8927D2,20,12,16,16,16,10,12,12,6
0xA64f2228cceC96076c82abb903021C33859082F8,20,12,12,10,15,11,10,12,18
0xe126b3E5d052f1F575828f61fEBA4f4f2603652a,20,5,5,5,20,20,10,15,20
0x880c4F74C3d4C39D75F8e2aD958F40671416bf66,20,12,12,12,12,16,12,12,12
0x2aa64E6d80390F5C017F0313cB908051BE2FD35e,20,16,14,12,16,13,13,8,8
0x4a6894Dd556fab996f8D50b521f900CAEedC168e,60,0,0,20,0,80,0,0,0
0x00De4B13153673BCAE2616b67bf822500d325Fc3,60,24,26,50,0,0,0,0,0
0xE04885c3f1419C6E8495C33bDCf5F8387cd88846,20,20,12,10,10,12,14,10,12
0x0ea26051F7657d59418da186137141CeA90D0652,60,20,20,20,15,5,10,5,5
0x5a5D9aB7b1bD978F80909503EBb828879daCa9C3,60,0,25,0,25,0,30,0,20
0xDAE86F42EE68975be4c6E72bf1b0DccdBA7aaD11,60,41,7,10,7,8,2,24,1
0x59DDA36bD196Ec849838CE2163E6821f946b37Dc,60,13,11,16,14,7,16,9,14
0xd2Be832911A252302bAc09e30Fc124A405E142DF,20,10,17,15,14,13,9,12,10
0x2dd2036C9Db2ADA2739509AF0047c00C8b9291EF,60,20,15,20,10,15,10,5,5
0xf4c6A5df9050b15A21aABccbC84cCB31fBdc0846,20,14,12,12,18,16,10,10,8
0x826976d7C600d45FB8287CA1d7c76FC8eb732030,20,15,6,6,13,7,23,22,8
0xfC9265A28f66CF4561D74A4E25D7Bbd3F482B8e6,20,13,11,12,14,14,12,12,12
0xBEa26DE685Ef828b60cA53b40Ecc9Bab35645fDF,60,35,0,35,10,0,10,0,10
0xd6b97e042d03EdBDc100Eb55fbE43Eb75f2e3036,20,18,6,5,20,12,16,10,13
0x2D7d6Ec6198ADFD5850D00BD601958F6E316b05E,20,10,20,15,10,15,10,10,10
0xAfA0a440a488E8d5a04f2613Fd9a990e642cA54E,60,20,25,15,15,5,5,5,10
0x5d36a202687fD6Bd0f670545334bF0B4827Cc1E2,60,12,12,12,12,16,12,12,12
0xb03F5438f9A243De5C3B830B7841EC315034cD5f,20,12,12,12,12,16,12,12,12
0x2B888954421b424C5D3D9Ce9bB67c9bD47537d12,20,0,0,0,0,0,0,100,0
0x2df292AF809Fd693D94C7D17E36BE352e15Bb98a,20,12,12,12,12,16,12,12,12
0xc2E2B715d9e302947Ec7e312fd2384b5a1296099,60,5,5,25,15,22,10,3,15
0x839395e20bbB182fa440d08F850E6c7A8f6F0780,60,15,15,15,5,5,20,15,10
0xC46c67Bb7E84490D7EbdD0b8ecDaca68Cf3823F4,20,12,26,3,11,5,3,36,4
0x7d03C5c37f77Fd01211334B9115CA108C84E8f3B,60,5,5,0,20,10,31,10,19
0xDeBbAD30dCe4D46fE2F5DA36a167A9F6F02811E2,20,5,10,12,25,5,20,5,18
0x6DD6934452eB4E6D87B9c874AE0EF83ec3bd5803,60,16,16,18,12,5,13,10,10
0x809C9f8dd8CA93A41c3adca4972Fa234C28F7714,20,12,12,14,12,16,10,12,12
0x41D2a18E1DdACdAbFDdADB62e9AEE67c63070b76,20,17,11,12,6,2,6,30,16
0x2808b85De287802DA0508fb0E58FDb4F571BC793,60,0,0,0,0,100,0,0,0
0xdfBecC0b4aEF80b96Da27aB483feb0892472eaC2,20,20,10,5,28,6,5,6,20
0xfbCA78474A09E2BF3543f4Fc1037152ea2c6C32d,20,16,6,25,32,8,3,10,0
0xEf48752C933b1050187e89A9F909De2b9e0BDCE6,60,5,5,5,5,0,45,30,5
0x3df13B9bd79158f0cccDDd0833cF774178e3d2e9,20,12,30,25,12,0,16,5,0
0x8073639B11994C549eDa58fC3cd7132a72aaDF10,20,12,12,12,12,9,12,19,12
0xc1cb4EFB797B953A7ea303e8f9110cC7C9b232A4,20,8,14,17,15,18,10,7,11
0x8f51DC0791CdDDDCE08052FfF939eb7cf0c17856,20,12,12,12,12,16,12,12,12
0xc2fB4B3EA53E10c88D193E709A81C4dc7aEC902e,20,12,12,12,12,16,12,12,12
0xF3Ad97364bcCC3eA0582Ede58C363888f8C4ec85,20,12,12,12,12,16,12,12,12
0xABF28f8D9adFB2255F4a059e37d3BcE9104969dB,60,15,12,38,5,25,0,0,5
0x894Aa5F1E45454677A8560ddE3B45Cb5C427Ef92,60,10,10,10,25,10,10,10,15
0x461acd846B4cc249b96242F1AB7c72a39d94747c,20,13,12,12,15,15,10,13,10
0x9ea09816Db61C2fd860ECD4A615431Fe86b944Aa,20,20,15,17,18,0,9,15,6
0x1421d52714B01298E2e9AA969e14c9317B3E1CFA,60,33,15,30,5,1,10,1,5
0x7904667C340601AaB73939372C016dC5102732A2,60,0,20,20,10,20,20,0,10
0xc5b24B213783477F811523649f4dd31dd43F7790,20,25,25,15,10,5,5,5,10
0x616caD18642F45d3fa5FCaaD0a2d81764A9cBa84,60,12,26,12,25,0,0,0,25
0x974a2F25C831f01925822C0cDf4979667F2Bf5E3,60,12,12,12,12,16,12,12,12
0x26250D5b0265A9df5F59b9086cab1095254d38B1,20,0,0,0,0,50,50,0,0
0xd034Fd34eaEe5eC2c413C51936109E12873f4DA5,60,2,3,21,1,6,50,1,16
0x510e221C48ee37DAfc0d3802b43679Cf5d78561f,60,20,22,20,8,6,4,8,12
0x2dE259Bb2a724eBFe50b026EF11F817780f27f19,60,15,20,25,5,15,10,5,5
0xCA72c93172BA6EfF168E59e7F17C3C7A8FeA9B62,20,16,6,11,16,11,5,14,21